Artist,Avg Tickets,Gross Sales,Territory,Agency,Location
33 1/3 Live's Killer Queen Experience,,,United States,Panzyler Entertainment Grp.,
36 Crazyfists,,,United States,TKO,
38 Special,975,"$46,090",Asia,WME,
38 Special,975,"$46,090",North America,WME,
3Lau,"1,363","$34,556",,Creative Artists Agency (Music),Nashville
3Lau,"1,363","$34,556",Worldwide,Creative Artists Agency (Music),Los Angeles
3OH!3,698,"$16,284",North America,TKO,
3Peat,,,Worldwide,APA,
3Teeth,169,"$2,971",North America,Artist Group International,
40 Below Summer,,,United States,Dynamic Talent International,
4B,"2,003","$66,238",North America,Paradigm - Beverly Hills,
4th & Orange,,,North America,Paradigm - Beverly Hills,
4th Ave,60,$606,Worldwide,Creative Artists Agency (Music),Los Angeles
5 Seconds Of Summer,"3,874","$191,721",Worldwide,Creative Artists Agency (Music),Los Angeles
50 Cent,"9,916","$698,787",Worldwide,APA,
50 Years Together,,,North America,Skyline Artists Agency,
54-40,497,"$17,224",North America,APA,
5ive,"1,651","$62,073",Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
5th Ward Weebie,,,Worldwide,Red Entertainment Agency,
68,140,"$2,078",North America,TKO,
6Dogs,,,Worldwide,APA,
6LACK,"1,952","$75,322","Asia, Australia",WME,
6LACK,"1,952","$75,322",Worldwide,WME,
70's Soul Jam,"2,683","$182,564",Worldwide ex. North America,Universal Attractions Agency,
7Seconds,,,North America,DO IT BOOKING,
8 Graves,,,North America,Forge Ahead Touring,
8 Graves,,,North America,Forge Ahead Touring,
808 State,,,Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
88Glam,,,Worldwide,WME,
88rising,"2,540","$115,398",Worldwide,WME,
9 Electric,,,United States,TKO,
90's Remix Tour,,,Worldwide,Universal Attractions Agency,
90s Kids,,,North America,FATA Booking Agency,
98 Degrees,"1,131","$57,275",North America,United Talent Agency - Beverly Hills,
98 Degrees,"1,131","$57,275",North America,UTA,
99 Neighbors,544,"$7,583",North America,Paradigm - NYC,
99 Neighbors,544,"$7,583",North America,Paradigm - Beverly Hills,
99 Souls,,,Worldwide,UTA,
A Blaze of Feather,,,Worldwide,Creative Artists Agency (Music),Los Angeles
A Boogie Wit Da Hoodie,"2,639","$116,972",North America,Creative Artists Agency (Music),Los Angeles
A Bowie Celebration,871,"$48,355",Worldwide,United Talent Agency - Beverly Hills,
A Bowie Celebration,871,"$48,355",Worldwide,UTA,
A Bronx Tale,,,Worldwide,WME,
A Charlie Brown Christmas Live,"1,808","$70,673",Worldwide,United Talent Agency - Beverly Hills,
A Charlie Brown Christmas Live,"1,808","$70,673",Worldwide,UTA,
A Complete Guide To Everything,,,Worldwide,WME,
A Day To Remember,"4,163","$174,509",South America,United Talent Agency - Beverly Hills,
A Day To Remember,"4,163","$174,509",South America,UTA,
A Great Big Pile Of Leaves,,,Worldwide ex. UK/Europe,United Talent Agency - Beverly Hills,
A Great Big Pile Of Leaves,,,Worldwide ex. UK/Europe,UTA,
A Great Big World,,,North America,United Talent Agency - Beverly Hills,
A Great Big World,,,North America,UTA,
A Great Big World,,,Worldwide,UTA,
A Hawk And A Hacksaw,,,North America,Ground Control Touring,
A Magical Cirque Christmas,"1,845","$94,320",North America,WME,
A Magical Cirque Christmas,,,North America,WME,
A Night of Symphonic Rock,,,Worldwide,Gersh,
A Night With Janis Joplin,"1,127","$57,143","Asia, Australia",WME,
A Perfect Circle,"3,570","$229,604","Australia, Asia",WME,
A Perfect Circle,"3,570","$229,604",Europe,WME,
A Perfect Circle,"3,570","$229,604",North America,WME,
A Peter White Christmas,425,"$24,086",North America,APA,
A Place To Bury Strangers,120,"$1,887",North America,Paradigm - NYC,
A R I Z O N A,,,Worldwide,United Talent Agency - Beverly Hills,
A R I Z O N A,,,Worldwide,UTA,
A Sense Of Purpose,,,United States,Dynamic Talent International,
A Taste Of Honey,,,North America,Pyramid Entertainment Group,
A Temptations Revue Feat. Barrington Henderson,,,Worldwide,Red Entertainment Agency,
A Thousand Horses,,,,Creative Artists Agency (Music),Nashville
A Thousand Horses,,,Worldwide,Creative Artists Agency (Music),Los Angeles
A Tribe Called Quest,,,Worldwide,Creative Artists Agency (Music),Los Angeles
A Very Electric Christmas,,,North America,Brad Simon Organization,
A Walk Down Broadway: Songs And Stories from a Bygone Era ft. Rick Braun,,,North America,APA,
A War Within,85,$955,United States,Dynamic Talent International,
A Will Away,,,Worldwide ex. North America,UTA,
A Winged Victory For The Sullen,,,"Mexico, Canada, United States, Asia, South America",Arrival Artists,
A-ha,"6,103","$465,135",North America,Paradigm - NYC,
A-Trak,546,"$15,020",North America,Paradigm - Berkley,
A-Trak,546,"$15,020",North America,Paradigm - Beverly Hills,
A-Wa,320,"$7,673",North America,APA,
A. Savage,,,"Asia, New Zealand, Australia, Europe, Africa",WME,
A. Savage,,,North America,Ground Control Touring,
A. Sinclair,,,North America,Nine Mile Touring,
A. Swayze And The Ghosts,221,"$3,072",North America,WME,
A.A. Bondy,237,"$4,134",North America,Paradigm - Nashville,
A.C. Newman,,,"Canada, Mexico, United States",Arrival Artists,
A.Chal,,,Worldwide ex. North America,WME,
A.Chal,,,North America,Paradigm - Beverly Hills,
A.G. Cook,,,North America,Paradigm - Beverly Hills,
A.K.,138,"$2,093",North America,United Talent Agency - Beverly Hills,
A.K.,138,"$2,093",North America,UTA,
A.M.O.K.,,,North America,Paradigm - NYC,
A.O. Gerber,,,North America,High Road Touring,
A.O. Gerber,,,North America,High Road Touring,
A.R. Rahman,"6,411","$737,567",North America,Paradigm - NYC,
A.R. Rahman,"6,411","$737,567","South America, North America",Paradigm - Monterey,
A$AP Rocky,"5,650","$290,309",North America,Creative Artists Agency (Music),Los Angeles
A$AP Twelvyy,,,Worldwide,WME,
AAAA,,,North America,Surefire Agency,
AAN,,,,Duck Club Touring,
Aaron Bruno,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Aaron Carpenter,,,non-exclusive,WME,
Aaron Chen,,,North America,UTA - Comedy,
Aaron Cole,"1,658","$16,580",Worldwide,Creative Artists Agency (Music),Los Angeles
Aaron Frazer,,,North America,Paradigm - Nashville,
Aaron Gillespie,,,North America,United Talent Agency - Beverly Hills,
Aaron Gillespie,,,North America,UTA,
Aaron Lazar,118,"$2,430",Worldwide,Gersh,
Aaron Lee Tasjan,282,"$6,921",North America,High Road Touring,
Aaron Lewis,"1,486","$70,505",United States,Creative Artists Agency (Music),Los Angeles
Aaron Lewis,"1,486","$70,505",North America,United Talent Agency - Beverly Hills,
Aaron Lewis,"1,486","$70,505",North America,UTA,
Aaron Neville,446,"$31,505",Worldwide,Paradigm - NYC,
Aaron Nigel Smith,,,North America,Great Knight Productions,
Aaron Parker,,,North America,Creative Artists Agency (Music),Los Angeles
AARON PARKS,,,,Big Fish Booking Company,
Aaron Smith,98,"$1,005",North America,Paradigm - NYC,
Aaron Tippin,979,"$44,705",Worldwide,United Talent Agency - Beverly Hills,
Aaron Tippin,979,"$44,705",Worldwide,UTA,
Aaron Tveit,748,"$39,000",Worldwide,Creative Artists Agency (Music),Los Angeles
Aaron Watson,"1,228","$32,536",,Creative Artists Agency (Music),Nashville
Aaron Watson,"1,228","$32,536",Worldwide,Creative Artists Agency (Music),Los Angeles
Aaron West And The Roaring Twenties,519,"$10,764",North America,Sound Talent Group,
Aaron Zigman,,,non-exclusive,WME,
Aasif Mandvi,,,Worldwide,ICM Partners,
Aazar,,,North America,Paradigm - Beverly Hills,
ABBA The Concert: A Tribute To ABBA,"2,309","$85,103",North America,ICM Partners,
Abbarama,187,"$4,175",North America,TKO,
Abbath,269,"$8,374",Worldwide ex. UK/Europe,Artist Group International,
Abbey Cone,,,North America,Paradigm - Nashville,
Abbey Curran,,,Worldwide,Gersh,
Abby Anderson,200,"$5,000",,Creative Artists Agency (Music),Nashville
Abby Anderson,200,"$5,000",Worldwide,Creative Artists Agency (Music),Los Angeles
Abby Quinn,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Abelation,,,North America,Madison House,
Abhi The Nomad,271,"$4,123",North America,Paradigm - NYC,
Abigail Washburn,127,"$3,515","Mexico, Canada, United States",Arrival Artists,
Abiotic,,,United States,Dynamic Talent International,
Above & Beyond,"5,126","$321,977",Worldwide ex. UK/Europe,Paradigm - NYC,
Above & Beyond,"5,126","$321,977",Worldwide ex. UK/Europe,Paradigm - Beverly Hills,
Abra,"1,745","$54,115",Worldwide,Creative Artists Agency (Music),Los Angeles
Abraham Mateo,"1,438","$30,549",North America,Paradigm - Beverly Hills,
Abraxis,,,North America,Paradigm - Beverly Hills,
Absinthe,,,North America,ICM Partners,
Absofacto,,,Worldwide,United Talent Agency - Beverly Hills,
Absofacto,,,Worldwide,UTA,
AC Slater,598,"$14,162",North America,Paradigm - Beverly Hills,
AC/DC,,,Worldwide,Creative Artists Agency (Music),Los Angeles
AC/DShe,,,North America,Swan Entertainment,
Acacia & Aaliyah,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Accent,,,United States,ArcArtists,
Accept,213,"$4,615",North America,Ashley Talent International,
Acceptance,,,North America,Artist Group International,
Ace Frehley,565,"$25,195",Worldwide,Northstar Artists,
Ace Frehley,565,"$25,195",Worldwide,Northstar Artists,
Ace Hood,,,North America,33 & West,
ACID MOTHERS TEMPLE & THE MELTING PARAISO U.F.O.,,,,Space Agency Booking,
Acid Witch,,,North America,Tone Deaf Touring,
Acid Witch,,,,HEAVY TALENT,
Acoustic Alchemy,296,"$10,413",North America,Mint Talent Group,
Acoustic Syndicate,,,North America,Midwood Entertainment,
Acrylics,,,North America,Overrun Booking,
Action Bronson,"1,058","$34,215",Asia,WME,
Action Bronson,"1,058","$34,215",Worldwide ex. North America,WME,
Action Bronson,"1,058","$34,215",North America,United Talent Agency - Beverly Hills,
Action Bronson,"1,058","$34,215",North America,UTA,
Active Bird Community,36,$368,North America,High Road Touring,
Ada Lea,62,$692,Worldwide ex. UK/Europe,Ground Control Touring,
Adam 12,,,Worldwide,Earth To Peter,
Adam Ant,"1,319","$61,493",North America,United Talent Agency - Beverly Hills,
Adam Ant,"1,319","$61,493",North America,UTA,
Adam Ant,"1,319","$61,493",Worldwide ex. North America,UTA,
Adam Baldwin,,,North America,APA,
Adam Beyer,"4,199","$192,087","Asia, Australia",WME,
Adam Beyer,"4,199","$192,087",Worldwide ex. North America,WME,
Adam Beyer,"4,199","$192,087",North America,Paradigm - NYC,
Adam Beyer & Cirez D,,,"Australia, Asia",WME,
Adam Beyer & Cirez D,,,"Australia, Asia, Europe",WME,
Adam Cayton-Holland,,,Worldwide,Creative Artists Agency (Comedy),Los Angeles
Adam Cayton-Holland,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Adam Conover,588,"$22,050",North America,Creative Artists Agency (Comedy),Los Angeles
Adam Conover,588,"$22,050",North America,Creative Artists Agency (Music),Los Angeles
Adam Craig,,,North America,WME,
Adam Deacon,,,Worldwide,WME,
Adam Deitch,,,Worldwide,United Talent Agency - Beverly Hills,
Adam Deitch,,,Worldwide,UTA,
Adam DeVine,"3,331","$109,193",North America,WME,
Adam Doleac,257,"$6,806",Worldwide,WME,
Adam Ezra Group,229,"$7,151",North America,The Roots Agency,
Adam French,91,$954,Worldwide,Creative Artists Agency (Music),Los Angeles
Adam Green,275,"$4,924",North America,Rocky Road Touring,
Adam Hambrick,22,$270,North America,WME,
Adam Hawley,193,"$7,699",North America,APA,
Adam Horowitz,,,non-exclusive,WME,
Adam Kantor,,,Worldwide,Gersh,
Adam Lambert,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Adam Levine,,,Worldwide ex. UK/Europe,WME,
Adam Melchor,485,"$7,275",North America,Paradigm - Nashville,
Adam Newman,,,Worldwide,Gersh,
Adam Ray,823,"$57,257",Worldwide,Gersh,
Adam Sandler,"4,071","$427,830",North America,WME,
"Adam Savage & Michael Stevens: ""Brain Candy Live!""","1,208","$66,111",Worldwide,WME,
Adam Savage: Mythbusters Live!,,,"North America, Australia, New Zealand",WME,
Adam Topol,,,Worldwide,Partisan Arts,
Adam Trent,"1,224","$57,375",North America,WME,
Adam Weiner,96,"$1,699",Worldwide,WME,
Adam Weiner,,,Worldwide,WME,
Adana Twins,,,"North America, South America",Liaison Artists,
ADARO,,,,Corson Agency,
Ade,,,North America,APA,
Adekunle Gold,,,Worldwide,ICM Partners,
Adekunle Gold,,,Worldwide,ICM Partners,
Adele,,,North America,WME,
Adele,,,Worldwide,WME,
Adele Givens,,,North America,ICM Partners,
Adeline ,,,,TBA Agency,
Adelitas Way,268,"$3,959",North America,TKO,
Adia Victoria,76,"$1,149","South America, North America",Creative Artists Agency (Music),Los Angeles
Adina Howard,,,non-exclusive,Universal Attractions Agency,
Aditya Prakash Ensemble,,,"Australia, North America, Europe",Riot Artists,
Admiral Fallow,,,North America,APA,
ADRENALIZE,,,,Corson Agency,
Adrian Belew,287,"$9,802","South America, Europe, Africa, Mexico, Australia, Canada, Middle East, New Zealand, Asia, United States",Arrival Artists,
Adrian Legg,124,"$2,756",Worldwide,Dynamic Artists Management LLC,
Adrianne Lenker,412,"$7,164",North America,Ground Control Touring,
Adriatique,"7,021","$403,051",North America,Liaison Artists,
Adriene Mishler,795,"$37,693",non-exclusive,WME,
Adriene Mishler,,,non-exclusive,WME,
Adrienne Miller,,,Worldwide,Gersh,
Adrienne Warren,,,Worldwide,Gersh,
Adult.,145,"$2,155",North America,Ground Control Touring,
Adventure Club,"1,535","$55,122",Worldwide,United Talent Agency - Beverly Hills,
Adventure Club,"1,535","$55,122",Worldwide,UTA,
Advertisement,,,Worldwide,ICM Partners,
Advertisement,,,Worldwide,ICM Partners,
Ady Suleiman,125,"$1,870",Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
Æ MAK,,,,Outer/Most,
Aeges,,,United States,TKO,
Aerial East,,,North America,Paradigm - NYC,
Aeris Roves,,,North America,Paradigm - Beverly Hills,
Aeris Roves,,,North America,Paradigm - Nashville,
Aero Flynn,,,North America,United Talent Agency - Beverly Hills,
Aero Flynn,,,North America,UTA,
Aerosmith,"15,327","$3,218,734","North America, South America, Mexico",Creative Artists Agency (Music),Los Angeles
Aesop Rock,,,North America,United Talent Agency - Beverly Hills,
Aesop Rock,,,North America,UTA,
Aesthetic Perfection,288,"$5,384",North America,33 & West,
AFI,,,"Australia, Asia",WME,
AFI,,,Worldwide,WME,
AFK,5,$50,Worldwide,United Talent Agency - Beverly Hills,
AFK,5,$50,Worldwide,UTA,
Afro B,,,North America,Creative Artists Agency (Music),Los Angeles
Afro-Cuban All Stars,,,"North America, South America",Riot Artists,
AFRODEUTSCHE,,,,Outer/Most,
Afrojack,"3,510","$195,440",North America,WME,
After 7,"1,449","$66,604",North America,Pyramid Entertainment Group,
After 7,"1,449","$66,604",non-exclusive,Universal Attractions Agency,
After The Burial,449,"$9,444",Worldwide ex. UK/Europe,Sound Talent Group,
After The Fall,,,North America,Back Bay Booking,
Afterlife,,,Worldwide ex. UK/Europe,Sound Talent Group,
AFTM,707,"$10,535",North America,Mint Talent Group,
AGA-Boom,,,Worldwide,Brad Simon Organization,
Against Me!,432,"$9,300",North America,Creative Artists Agency (Music),Los Angeles
Against Me!,432,"$9,300",Worldwide ex. North America,UTA,
Against The Current,338,"$6,427",North America,United Talent Agency - Beverly Hills,
Against The Current,338,"$6,427","Europe, United Kingdom",UTA,
Against The Current,338,"$6,427",North America,UTA,
Against The Grain,527,"$17,036",North America,Tone Deaf Touring,
Agar Agar,254,"$3,060",North America,United Talent Agency - Beverly Hills,
Agar Agar,254,"$3,060",North America,UTA,
Age of Electric,,,Canada,APA,
Ages And Ages,151,"$2,000",North America,New Frontier Touring,
Ages And Ages,151,"$2,000",North America,New Frontier Touring,
Aggression,17,$204,North America,Ashley Talent International,
Agnes Obel,789,"$29,073",North America,WME,
Agnez Mo,,,Worldwide,United Talent Agency - Beverly Hills,
Agnez Mo,,,Worldwide,UTA,
Agnostic Front,376,"$6,569","United States, Canada",Leave Home Booking,
Ahmad Jamal,"1,088","$63,914","Africa, Europe, Central America, Asia, North America",M M Music Agency,
Aida Osman,,,non-exclusive,WME,
Aida Rodriguez,220,"$7,727",Worldwide,APA,
Aimee Mann,548,"$24,231",North America,High Road Touring,
Ainslie Wills,,,"United Kingdom, Europe",WME,
Air,,,"Japan, Mexico, Central America, North America",Creative Artists Agency (Music),Los Angeles
Air,,,"Australia, Asia",WME,
Air,,,"Europe, South America",WME,
Air,,,"South America, Europe",WME,
Air Supply,"1,453","$92,634",North America,APA,
Airbourne,"1,012","$31,794",North America,Paradigm - Toronto,
Airways,108,"$1,845",North America,Paradigm - Beverly Hills,
Airways,108,"$1,845",Worldwide ex. North America,UTA,
Aisha Tyler,,,Worldwide,ICM Partners,
Aisling Bea,,,North America,Creative Artists Agency (Comedy),Los Angeles
Aisling Bea,,,North America,Creative Artists Agency (Music),Los Angeles
Aitch,700,"$13,266",North America,ICM Partners,
AIZA,,,North America,Earth To Peter,
AJ & The Jiggawatts,,,Worldwide,Stewart Entertainment Agency,
AJ Brown,,,Worldwide,UTA,
AJ Croce,582,"$20,196",North America,Myriad Artists,
Aj Fullerton,,,North America,Blue Sun Entertainment,
AJ Ghent,54,$855,Worldwide,Ketch Agency,
AJ McLean,,,North America,United Talent Agency - Beverly Hills,
AJ McLean,,,North America,UTA,
AJ Mitchell,246,"$4,883",Worldwide,Creative Artists Agency (Music),Los Angeles
AJ Tracey,567,"$12,680",North America,United Talent Agency - Beverly Hills,
AJ Tracey,567,"$12,680",North America,UTA,
AJA9,,,Worldwide,United Talent Agency - Beverly Hills,
AJA9,,,Worldwide,UTA,
Ajimal,,,Worldwide ex. North America,UTA,
AJR,"2,676","$94,496",North America,WME,
Akaash Singh,,,Worldwide,Gersh,
Akala,,,Worldwide ex. North America,UTA,
AKB48,,,Asia,WME,
Akon,,,North America,United Talent Agency - Beverly Hills,
Akon,,,North America,UTA,
AKRONYM,,,,Prysm Talent Agency,
AKYLLA,,,,Corson Agency,
Al B. Sure!,,,non-exclusive,Pyramid Entertainment Group,
Al B. Sure!,,,non-exclusive,Universal Attractions Agency,
Al B. Sure!,,,non-exclusive,Red Entertainment Agency,
Al Di Meola,406,"$19,047",Worldwide ex. UK/Europe,APA,
Al Green,"4,182","$330,160",Europe,WME,
Al Green,"4,182","$330,160",Worldwide,WME,
AL LOVER,,,,Space Agency Booking,
Al Madrigal,,,North America,Creative Artists Agency (Comedy),Los Angeles
Al Madrigal,,,North America,Creative Artists Agency (Music),Los Angeles
Al McKay Allstars,,,non-exclusive,Pyramid Entertainment Group,
Al Ross,,,Worldwide,United Talent Agency - Beverly Hills,
Al Ross,,,Worldwide,UTA,
Al Scorch,,,North America,Fleming Artists,
Al Sharpton,,,Worldwide,Universal Attractions Agency,
Al Stewart,545,"$24,692",North America,APA,
Alabama Shakes,,,North America,High Road Touring,
Alaina Castillo,,,North America,WME,
Alan Doyle,471,"$15,727",United States,Northstar Artists,
Alan Doyle,509,"$16,614",United States,Northstar Artists,
Alan Doyle,510,"$16,357",Canada,APA,
Alan Fitzpatrick,,,North America,Paradigm - NYC,
Alan Jackson,"8,911","$586,993",Worldwide,WME,
Alan Parsons Live Project,"1,292","$77,342","Worldwide, North America",Artist Group International,
Alan Walker,"1,961","$54,681","North America, South America",Paradigm - NYC,
Alan Walker,"1,961","$54,681",North America,Paradigm - Beverly Hills,
Alanis Morissette,"5,335","$419,681","Asia, Australia",WME,
Alanis Morissette,"5,335","$419,681",Europe,WME,
Alanis Morissette,"5,335","$419,681",North America,WME,
Alanna Royale,164,"$2,590",North America,Bonfire Touring,
Alaric,,,North America,Tone Deaf Touring,
Alash,64,"$1,049",North America,Myriad Artists,
Albert Castiglia,81,"$1,076",Worldwide,Intrepid Artists Inc.,
Albert Cummings,229,"$6,325",North America,Dynamic Artists Management LLC,
Albert Hammond,339,"$12,530",Worldwide,TKO,
Albert Hammond Jr.,378,"$8,446","Australia, Asia",WME,
Albert Hammond Jr.,378,"$8,446",Worldwide,WME,
Alberta Cross,,,"Asia, Australia",WME,
Albin Lee Meldau,61,$814,North America,WME,
Alboroise,,,North America,The Empire Agency,
Alcest,862,"$10,346",North America,Ground Control Touring,
Aldous Harding,630,"$14,195",North America,Panache Booking,
Alec Bailey,,,Worldwide,WME,
Alec Baldwin - WNYC'S Here's The Thing with Alec Baldwin,,,North America,APA,
Alec Benjamin,965,"$21,383",North America,Paradigm - NYC,
Alec Chambers,,,Worldwide,ICM Partners,
Alec King,,,Worldwide,ICM Partners,
Aled Jones,,,Worldwide,UTA,
Aled Jones & Russell Watson,,,Worldwide,UTA,
Alejandro Aranda,,,North America,United Talent Agency - Beverly Hills,
Alejandro Aranda,,,North America,UTA,
Alejandro Escovedo,230,"$8,207",North America,Mint Talent Group,
Alesana,167,"$3,266",United States,Dynamic Talent International,
Alesha Dixon,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Alessi's Ark,,,North America,Concerted Efforts,
Alessia Cara,"1,583","$60,286","South America, North America",Paradigm - NYC,
Alesso,"5,100","$270,219",Worldwide,United Talent Agency - Beverly Hills,
Alesso,"5,100","$270,219",Worldwide,UTA,
Alewya,,,North America,Paradigm - Beverly Hills,
Alex & The Kaleidoscope Band,,,non-exclusive,Great Knight Productions,
Alex Adair,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Alex Aiono,301,"$6,999",Worldwide,United Talent Agency - Beverly Hills,
Alex Aiono,301,"$6,999",Worldwide,UTA,
Alex Bugnon,228,"$10,147",Worldwide,APA,
Alex Cameron,403,"$7,918","Mexico, Canada, United States, South America",Arrival Artists,
Alex Cameron ,,,,TBA Agency,
Alex Campos,,,North America,Paradigm - Beverly Hills,
Alex Clare,,,North America,TKO,
Alex Da Kid,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Alex Di Leo,72,$762,North America,FATA Booking Agency,
Alex Ebert,,,North America,WME,
Alex Edelman,,,North America,WME,
Alex English,,,Worldwide,WME,
Alex Francis,,,Worldwide,UTA,
Alex Frankel,,,North America,WME,
Alex Grey & Allyson Grey,,,North America,Madison House,
Alex Guarnaschelli,,,Worldwide,WME,
Alex Hall,,,North America,Paradigm - Nashville,
Alex Lahey,263,"$4,451","Australia, Australia",WME,
Alex Mali,,,Worldwide,ICM Partners,
Alex Moffat,,,Worldwide,WME,
Alex Porat,,,Worldwide,ICM Partners,
Alex Sensation,"16,763","$1,515,908",North America,Paradigm - Beverly Hills,
Alex Sensation ,,,,TBA Agency,
Alex The Astronaut,"1,125","$21,037",North America,Paradigm - NYC,
Alex Vargas,185,"$2,711",Worldwide,United Talent Agency - Beverly Hills,
Alex Vargas,185,"$2,711",Worldwide,UTA,
Alex Vargas,185,"$2,711",Worldwide ex. North America,UTA,
Alex Winston,,,Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
Alex Winston,,,North America,APA,
AleXa,,,Worldwide,ICM Partners,
Alexa Goddard,,,"Australia, Asia",WME,
Alexa Goddard,,,Worldwide ex. North America,WME,
Alexa Ray Joel,,,United States,Artist Group International,
Alexa Rose,,,North America,Concerted Efforts,
Alexander,,,Europe,WME,
Alexander,,,Worldwide,WME,
Alexander 23,750,"$11,250",North America,Paradigm - NYC,
Alexander Jean,,,Worldwide,APA,
Alexander O'Neal,807,"$36,590",North America,Universal Attractions Agency,
Alexander O'Neal,807,"$36,590",Worldwide ex. North America,Universal Attractions Agency,
Alexandra Burke,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Alexandra Kay,,,Worldwide,Sound Talent Group,
Alexandra Kay,,,Worldwide,Sound Talent Group,
Alexis & the Samurai,,,North America,High Road Touring,
Alexis Ffrench,,,Worldwide,UTA,
Alexis Taylor,142,"$2,379",Worldwide ex. North America,WME,
Alexisonfire,"4,927","$239,064",North America,Paradigm - Toronto,
Alexisonfire,"4,927","$239,064","Europe, United Kingdom",UTA,
Alextbh,,,Worldwide,ICM Partners,
ALFA MIST,,,,Outer/Most,
Alfie Boe,"1,260","$78,019",Worldwide,United Talent Agency - Beverly Hills,
Alfie Boe,"1,260","$78,019",Worldwide,UTA,
Alfie Templaman,,,North America,Paradigm - NYC,
Alfredo Rodriguez,,,North America,Mint Talent Group,
Algebra,,,non-exclusive,Universal Attractions Agency,
Algiers,244,"$3,384",North America,Concerted Efforts,
Ali Barter,753,"$10,407",North America,WME,
Ali Gatie,,,North America,Creative Artists Agency (Music),Los Angeles
